Family;Line;Feldnr_2017;Bgh0519_A;Bgh0608_B;Bgh0617_C;Ph0617_C
1;HEB_01_001;14501;0;3;4;1
1;HEB_01_003;14502;0;4;7;1
1;HEB_01_004;14503;0;1;1;3
1;HEB_01_005;14504;0;3;6;
1;HEB_01_013;14505;0;1;1;2
1;HEB_01_021;14506;0;1;1;1
1;HEB_01_022;14507;2;7;6;1
1;HEB_01_023;14508;0;6;8;1
1;HEB_01_025;14509;0;1;1;5
1;HEB_01_030;14510;0;1;1;3
1;HEB_01_031;14511;0;1;1;3
1;HEB_01_032;14512;0;1;1;1
1;HEB_01_033;14513;0;1;1;3
1;HEB_01_038;14514;0;1;1;3
1;HEB_01_041;14515;0;1;1;3
1;HEB_01_042;14516;0;2;1;1
1;HEB_01_047;14517;0;1;1;1
1;HEB_01_050;14518;0;3;1;2
1;HEB_01_053;14519;2;8;9;1
1;HEB_01_055;14520;0;7;8;1
1;HEB_01_057;14521;1;8;9;1
1;HEB_01_071;14522;0;1;2;1
1;HEB_01_072;14523;0;1;1;3
1;HEB_01_074;14524;0;1;1;1
1;HEB_01_075;14525;0;2;3;1
1;HEB_01_077;14526;0;1;1;3
1;HEB_01_079;14527;0;1;1;2
1;HEB_01_080;14528;0;3;3;1
1;HEB_01_082;14529;0;8;9;1
1;HEB_01_085;14530;0;1;1;4
1;HEB_01_086;14531;0;1;1;3
1;HEB_01_087;14532;0;1;1;1
1;HEB_01_090;14533;0;2;5;1
1;HEB_01_091;14534;0;1;1;3
1;HEB_01_092;14535;0;1;1;4
1;HEB_01_093;14536;0;1;1;2
1;HEB_01_096;14537;0;1;1;2
1;HEB_01_097;14538;0;1;1;2
1;HEB_01_099;14539;0;1;1;3
1;HEB_01_101;14540;0;1;1;4
1;HEB_01_103;14541;0;1;1;3
1;HEB_01_104;14542;0;1;1;3
1;HEB_01_106;14543;0;1;1;3
1;HEB_01_109;14544;0;1;1;3
1;HEB_01_112;14545;0;5;7;1
1;HEB_01_121;14546;2;8;8;1
1;HEB_01_122;14547;0;7;8;1
