Family;Genotype;Feldnr_2018;Bgh0518_A;Bgh0607_B
01;HEB_01_001;18_13001;1;1
01;HEB_01_003;18_13002;2;1
01;HEB_01_004;18_13003;1;1
01;HEB_01_005;18_13004;1;2
01;HEB_01_013;18_13005;1;1
01;HEB_01_021;18_13006;1;1
01;HEB_01_022;18_13007;5;7
01;HEB_01_023;18_13008;3;7
01;HEB_01_025;18_13009;1;1
01;HEB_01_030;18_13010;1;1
01;HEB_01_031;18_13011;1;1
01;HEB_01_032;18_13012;1;1
01;HEB_01_033;18_13013;1;1
01;HEB_01_038;18_13014;1;1
01;HEB_01_041;18_13015;1;1
01;HEB_01_042;18_13016;1;1
01;HEB_01_047;18_13017;1;1
01;HEB_01_050;18_13018;1;1
01;HEB_01_053;18_13019;5;7
01;HEB_01_055;18_13020;2;6
01;HEB_01_057;18_13021;1;7
01;HEB_01_071;18_13022;1;1
01;HEB_01_072;18_13023;1;1
01;HEB_01_074;18_13024;1;1
01;HEB_01_075;18_13025;1;2
01;HEB_01_077;18_13026;1;1
01;HEB_01_079;18_13027;1;1
01;HEB_01_080;18_13028;2;2
01;HEB_01_082;18_13029;2;5
01;HEB_01_085;18_13030;1;1
01;HEB_01_086;18_13031;1;1
01;HEB_01_087;18_13032;1;1
01;HEB_01_090;18_13033;2;2
01;HEB_01_091;18_13034;1;1
01;HEB_01_092;18_13035;1;1
01;HEB_01_093;18_13036;1;1
01;HEB_01_096;18_13037;1;1
01;HEB_01_097;18_13038;1;1
01;HEB_01_099;18_13039;1;1
01;HEB_01_101;18_13040;1;1
01;HEB_01_103;18_13041;1;1
01;HEB_01_104;18_13042;1;1
01;HEB_01_106;18_13043;1;1
01;HEB_01_109;18_13044;1;1
01;HEB_01_112;18_13045;1;5
01;HEB_01_121;18_13046;2;6
01;HEB_01_122;18_13047;2;4
01;HEB_01_123;18_13048;1;5
01;HEB_01_124;18_13049;4;5
01;HEB_01_126;18_13050;2;5
01;HEB_01_127;18_13051;1;1
01;HEB_01_128;18_13052;1;1
01;HEB_01_130;18_13053;1;4
01;HEB_01_131;18_13054;1;1
01;HEB_01_132;18_13055;1;1
01;HEB_01_133;18_13056;1;1
01;HEB_01_134;18_13057;1;1
01;HEB_01_137;18_13058;1;1
01;HEB_01_140;18_13059;1;1
01;HEB_01_328;18_13060;1;1
02;HEB_02_003;18_13061;1;1
02;HEB_02_006;18_13062;1;1
02;HEB_02_008;18_13063;1;1
02;HEB_02_009;18_13064;1;1
02;HEB_02_012;18_13065;1;1
02;HEB_02_016;18_13066;1;1
02;HEB_02_017;18_13067;1;1
02;HEB_02_018;18_13068;1;1
02;HEB_02_020;18_13069;1;1
02;HEB_02_021;18_13070;8;9
02;HEB_02_022;18_13071;1;1
02;HEB_02_032;18_13072;3;6
02;HEB_02_033;18_13073;1;1
02;HEB_02_036;18_13074;1;1
02;HEB_02_038;18_13075;1;1
02;HEB_02_040;18_13076;7;9
02;HEB_02_041;18_13077;4;8
02;HEB_02_054;18_13078;1;
02;HEB_02_058;18_13079;5;8
02;HEB_02_063;18_13080;1;1
02;HEB_02_064;18_13081;1;1
02;HEB_02_067;18_13082;1;1
02;HEB_02_069;18_13083;4;9
02;HEB_02_071;18_13084;1;1
02;HEB_02_078;18_13085;1;1
02;HEB_02_083;18_13086;1;1
02;HEB_02_084;18_13087;1;1
02;HEB_02_085;18_13088;1;1
02;HEB_02_086;18_13089;1;1
02;HEB_02_088;18_13090;1;1
02;HEB_02_089;18_13091;1;1
02;HEB_02_093;18_13092;1;1
02;HEB_02_094;18_13093;2;9
02;HEB_02_096;18_13094;1;1
02;HEB_02_101;18_13095;1;1
02;HEB_02_106;18_13096;1;1
02;HEB_02_112;18_13097;1;1
02;HEB_02_114;18_13098;1;1
02;HEB_02_115;18_13099;1;1
02;HEB_02_117;18_13100;1;1
02;HEB_02_120;18_13101;1;1
02;HEB_02_121;18_13102;1;1
02;HEB_02_122;18_13103;1;1
02;HEB_02_125;18_13104;1;1
02;HEB_02_127;18_13105;1;1
02;HEB_02_130;18_13106;1;1
02;HEB_02_135;18_13107;1;1
02;HEB_02_136;18_13108;1;1
02;HEB_02_138;18_13109;1;1
02;HEB_02_146;18_13110;1;1
02;HEB_02_147;18_13111;1;2
05;HEB_02_152;18_13112;1;1
05;HEB_02_153;18_13113;1;1
05;HEB_02_154;18_13114;1;1
05;HEB_02_155;18_13115;1;1
05;HEB_02_156;18_13116;1;4
05;HEB_02_157;18_13117;1;1
05;HEB_02_158;18_13118;2;6
05;HEB_02_160;18_13119;1;1
03;HEB_03_006;18_13120;2;6
03;HEB_03_007;18_13121;4;9
03;HEB_03_012;18_13122;1;1
03;HEB_03_013;18_13123;1;1
03;HEB_03_014;18_13124;1;7
03;HEB_03_015;18_13125;1;1
03;HEB_03_017;18_13126;1;1
03;HEB_03_018;18_13127;1;1
03;HEB_03_019;18_13128;1;2
03;HEB_03_021;18_13129;1;1
03;HEB_03_025;18_13130;1;1
03;HEB_03_027;18_13131;1;1
03;HEB_03_029;18_13132;1;1
03;HEB_03_032;18_13133;1;1
03;HEB_03_033;18_13134;1;1
03;HEB_03_035;18_13135;1;1
03;HEB_03_036;18_13136;3;8
03;HEB_03_037;18_13137;1;1
03;HEB_03_039;18_13138;1;1
03;HEB_03_040;18_13139;1;1
03;HEB_03_045;18_13140;1;1
03;HEB_03_048;18_13141;1;1
03;HEB_03_052;18_13142;1;1
03;HEB_03_053;18_13143;2;5
03;HEB_03_055;18_13144;1;1
03;HEB_03_057;18_13145;1;1
03;HEB_03_062;18_13146;1;1
03;HEB_03_064;18_13147;1;1
03;HEB_03_065;18_13148;1;1
03;HEB_03_071;18_13149;1;1
03;HEB_03_072;18_13150;1;1
03;HEB_03_073;18_13151;1;1
03;HEB_03_076;18_13152;1;1
03;HEB_03_077;18_13153;1;1
03;HEB_03_080;18_13154;1;1
03;HEB_03_085;18_13155;1;1
03;HEB_03_089;18_13156;1;6
03;HEB_03_102;18_13157;3;1
03;HEB_03_106;18_13158;1;1
03;HEB_03_107;18_13159;1;1
03;HEB_03_108;18_13160;1;1
03;HEB_03_111;18_13161;1;1
03;HEB_03_129;18_13162;1;1
03;HEB_03_138;18_13163;1;6
03;HEB_03_139;18_13164;1;1
03;HEB_03_140;18_13165;1;1
03;HEB_03_141;18_13166;6;9
03;HEB_03_142;18_13167;5;9
03;HEB_03_144;18_13168;4;7
03;HEB_03_145;18_13169;2;3
03;HEB_03_147;18_13170;3;4
03;HEB_03_149;18_13171;5;8
03;HEB_03_153;18_13172;1;1
03;HEB_03_156;18_13173;1;1
03;HEB_03_162;18_13174;1;1
03;HEB_03_163;18_13175;1;1
03;HEB_03_166;18_13176;1;1
03;HEB_03_170;18_13177;1;1
04;HEB_03_172;18_13178;1;2
04;HEB_04_001;18_13179;1;1
04;HEB_04_002;18_13180;1;1
04;HEB_04_004;18_13181;1;1
04;HEB_04_005;18_13182;1;1
04;HEB_04_006;18_13183;1;1
04;HEB_04_008;18_13184;1;1
04;HEB_04_009;18_13185;1;1
04;HEB_04_013;18_13186;1;1
04;HEB_04_016;18_13187;1;1
04;HEB_04_017;18_13188;1;1
04;HEB_04_019;18_13189;1;1
04;HEB_04_062;18_13190;1;1
04;HEB_04_063;18_13191;1;1
04;HEB_04_066;18_13192;7;9
